Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,Curr1,Curr2,Curr3,Curr4,Curr5,Curr6,Curr7,Curr8,Curr9,Curr10,Curr11,Curr12,Curr13,Curr14,Curr15,Curr16,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Class
2809,2047,2361,2895,2806,2050,2359,2901,3013,2049,2369,2929,2653,599,2516,2474,546,18,72,258,528,-17,83,228,91,-12,0,8,100,-66,99,71,0.0,1.85,0.69,1.68,0.01,0
2807,2047,2361,2895,2811,2050,2359,2901,3080,2050,2366,2929,2653,599,2516,2474,93,16,74,101,476,-16,82,229,161,-15,31,8,101,-65,99,74,0.0,1.8,0.69,1.74,0.01,0
2807,2047,2361,2895,2817,2050,2359,2901,3142,2051,2366,2929,2653,599,2516,2474,99,16,74,100,495,-18,82,228,282,-25,24,7,99,-66,99,74,0.0,1.79,0.67,1.7,0.32,0
2807,2047,2361,2895,2814,2050,2359,2901,3179,2051,2366,2929,2653,599,2516,2474,100,17,73,100,100,-17,82,99,100,-24,24,8,101,-66,102,74,0.01,1.81,0.69,1.83,0.27,0
2807,2047,2361,2895,2814,2050,2359,2901,3180,2052,2366,2929,2653,599,2516,2474,100,17,72,99,100,-18,82,100,100,-32,23,8,100,-67,101,86,0.0,1.81,0.69,1.89,0.27,0
2807,2047,2361,2895,2814,2050,2359,2901,3180,2052,2366,2929,2653,599,2516,2474,100,15,72,100,100,-17,77,100,100,-33,24,8,101,-66,99,72,0.0,1.82,0.69,1.9,0.23,0
2807,2047,2361,2895,2814,2050,2359,2901,3180,2052,2366,2929,2653,599,2516,2474,99,16,72,101,99,-17,78,100,102,-32,23,9,101,-66,100,73,0.01,1.82,0.7,1.88,0.2,0
2807,2047,2361,2895,2814,2050,2359,2901,3180,2052,2366,2929,2653,599,2516,2474,101,15,73,99,101,-16,81,100,101,-33,23,8,101,-67,100,73,0.0,1.82,0.69,1.89,0.18,0
2659,2051,2364,2711,2697,2050,2364,2725,2738,2049,2370,2742,2633,602,2529,2473,551,-11,48,257,419,-18,40,136,63,-9,-10,75,93,-90,85,82,0.01,1.41,0.96,2.01,0.01,0
2657,2051,2363,2730,2720,2050,2361,2791,2812,2049,2370,2818,2633,602,2517,2473,99,-17,55,101,481,-18,66,200,74,-7,-11,81,100,-92,100,82,0.0,1.56,0.97,2.05,0.01,0
2657,2052,2364,2730,2728,2050,2361,2852,2889,2049,2370,2894,2633,602,2517,2473,101,-22,56,100,491,-17,65,316,67,-10,-9,86,97,-91,100,82,0.0,1.69,1.04,1.96,0.01,0
2657,2052,2363,2730,2733,2051,2359,2895,2950,2049,2370,2929,2633,602,2517,2473,99,-24,57,100,461,-17,81,282,56,-9,-11,7,100,-89,101,78,0.01,1.78,1.2,1.92,0.0,0
2657,2052,2363,2731,2735,2050,2359,2896,3050,2049,2370,2929,2633,602,2517,2474,100,-25,56,100,552,-28,81,290,57,-10,-8,8,100,-89,101,58,0.0,1.77,1.23,1.92,0.01,0
2657,2052,2363,2731,2730,2050,2359,2896,3124,2049,2370,2929,2633,602,2517,2474,98,-26,57,100,82,-26,82,102,49,-17,-10,8,100,-91,99,77,0.0,1.78,1.25,1.96,0.0,0
2657,2052,2363,2732,2728,2051,2359,2896,3199,2049,2370,2929,2633,602,2517,2474,100,-26,58,98,100,-23,82,98,58,-8,-10,8,99,-91,100,72,0.0,1.77,1.27,1.99,0.01,0
2657,2052,2363,2732,2728,2051,2359,2896,3285,2048,2370,2929,2633,602,2517,2474,99,-25,58,100,101,-22,82,99,53,-11,-9,8,101,-91,99,70,0.0,1.77,1.27,1.99,0.01,0
2657,2052,2363,2732,2728,2051,2359,2896,3359,2049,2370,2929,2633,602,2517,2474,100,-25,57,99,99,-8,82,101,70,-7,-11,8,100,-92,99,75,0.0,1.76,1.29,2.01,0.01,0
2657,2052,2363,2732,2728,2051,2359,2896,3432,2048,2370,2929,2633,602,2517,2474,99,-25,58,102,101,-21,82,99,82,2,-10,8,100,-90,101,73,0.0,1.76,1.3,2.01,0.01,0
2657,2052,2363,2732,2728,2051,2359,2896,3478,2048,2368,2929,2633,602,2517,2474,100,-25,56,101,100,-21,82,101,71,2,12,20,100,-91,99,74,0.76,1.75,1.3,1.99,0.01,0
2657,2052,2360,2732,2728,2050,2355,2896,3477,2048,2364,2927,2633,606,2517,2471,101,-25,49,98,99,-7,82,100,74,0,10,7,98,-91,101,72,0.01,1.73,1.2,1.87,0.01,0
3005,2051,2053,2613,3063,2052,2051,2615,3190,2048,2056,2612,2638,910,2548,2167,521,-18,-53,-71,504,-33,-62,-82,-175,-13,-119,-72,379,37,462,-82,0.01,0.0,0.48,0.0,0.01,0
3028,2051,2045,2541,3081,2052,2045,2540,3114,2049,2051,2536,2615,986,2569,2093,97,-17,26,-90,-5,-33,24,-69,-211,-14,-25,-88,-20,31,5,-92,0.0,0.0,0.36,0.0,0.0,0
3019,2049,2046,2466,3027,2051,2049,2466,3039,2048,2051,2461,2544,1028,2515,2050,-56,1,23,-78,-115,-24,-10,-64,-193,-1,-26,-82,-61,-34,-93,-7,0.0,0.0,0.3,0.0,0.0,0
2811,2047,2362,2884,2876,2050,2358,2907,2939,2049,2368,2928,2632,601,2518,2473,93,16,65,101,475,-16,84,165,77,-15,12,12,100,-83,99,82,0.01,1.2,0.47,1.18,2.52,0
2811,2047,2362,2884,2881,2050,2358,2908,3009,2050,2366,2928,2632,601,2518,2473,100,17,65,100,515,-16,78,173,115,-22,24,16,101,-83,101,82,0.0,1.23,0.48,1.17,2.55,0
2811,2047,2362,2884,2901,2050,2358,2908,3069,2051,2365,2928,2632,601,2518,2473,100,15,64,102,435,-17,90,173,249,-26,40,16,101,-82,101,82,0.0,1.47,0.47,1.21,2.65,0
2811,2047,2362,2887,2922,2050,2358,2908,3125,2052,2364,2928,2632,601,2518,2474,102,17,65,102,538,-17,90,170,405,-34,42,17,101,-82,99,81,0.13,1.59,0.45,1.19,2.76,0
2811,2047,2362,2893,2929,2050,2358,2908,3138,2052,2364,2927,2631,601,2518,2474,100,17,64,100,544,-17,89,174,101,-32,41,23,98,-83,100,73,0.0,1.62,0.47,1.18,2.76,0
2811,2047,2363,2903,2923,2051,2358,2907,3138,2052,2364,2927,2631,601,2518,2474,99,16,62,99,88,-24,92,100,99,-33,41,21,100,-84,100,71,0.0,1.62,0.46,1.13,2.73,0
2812,2047,2362,2915,2933,2051,2358,2908,3139,2052,2364,2927,2631,601,2518,2474,101,16,65,97,434,-25,91,173,100,-33,41,23,100,-83,100,73,0.0,1.63,0.46,1.11,2.77,0
2812,2047,2362,2918,2928,2051,2358,2908,3139,2052,2364,2927,2631,601,2518,2474,99,16,65,90,99,-25,91,100,100,-33,41,24,99,-83,99,73,0.0,1.64,0.46,1.13,2.76,0
2814,2047,2341,2902,2928,2051,2334,2894,3140,2052,2341,2906,2631,622,2518,2455,98,16,-66,-75,102,-24,-39,3,101,-34,-82,-80,100,50,98,-53,0.0,1.49,0.45,0.86,2.24,0
2722,2049,2363,2785,2746,2050,2361,2796,2816,2049,2370,2820,2648,601,2519,2472,467,0,58,319,497,-17,61,219,65,-6,-11,67,58,-84,79,92,0.0,1.6,0.89,1.92,0.0,0
2724,2049,2361,2832,2743,2050,2361,2804,2890,2049,2370,2896,2645,600,2512,2473,88,0,73,99,99,-18,65,100,67,-5,-12,74,101,-59,99,78,0.0,1.55,1.19,1.92,0.01,0
2724,2049,2362,2832,2743,2050,2361,2804,2964,2049,2369,2929,2652,601,2514,2473,100,0,71,99,98,-17,60,98,62,-14,-8,8,451,-88,566,90,0.0,1.56,1.27,2.02,0.01,0
2724,2049,2361,2832,2744,2050,2361,2804,3051,2050,2369,2929,2652,601,2514,2473,99,0,73,100,100,-18,61,101,56,-25,-1,9,447,-98,540,82,0.0,1.55,1.28,1.98,0.01,0
2724,2049,2361,2832,2744,2050,2361,2805,3125,2050,2369,2929,2648,601,2505,2473,100,0,74,99,100,-18,64,98,81,-19,1,8,100,-79,102,82,0.0,1.54,1.21,1.89,0.01,0
2724,2049,2361,2832,2744,2050,2361,2805,3199,2050,2369,2929,2648,601,2505,2473,98,0,74,100,101,-18,54,101,81,-16,-2,8,100,-79,101,82,0.0,1.53,1.24,1.93,0.01,0
2724,2049,2361,2833,2744,2050,2361,2804,3273,2050,2369,2929,2648,601,2505,2473,101,-5,74,98,101,-17,65,99,71,-16,0,7,100,-71,100,82,0.0,1.54,1.24,1.95,0.01,0
2724,2049,2361,2833,2744,2050,2361,2805,3360,2050,2369,2929,2648,601,2505,2473,99,3,72,100,98,-16,64,101,55,-18,0,8,98,-79,100,83,0.01,1.54,1.25,1.94,0.01,0
2724,2049,2361,2832,2744,2050,2361,2804,3435,2050,2369,2929,2648,601,2505,2473,100,5,73,101,101,-17,65,99,73,-16,-2,7,101,-82,100,82,0.01,1.54,1.26,1.93,0.01,0
2724,2049,2361,2832,2744,2050,2361,2804,3479,2049,2368,2929,2648,601,2505,2473,98,1,71,98,100,-17,65,100,59,-9,9,9,100,-73,97,81,0.73,1.55,1.26,1.97,0.01,0
2724,2049,2361,2832,2744,2050,2361,2805,3479,2049,2368,2929,2648,601,2505,2473,99,-6,70,100,100,-17,65,99,64,-6,10,7,100,-82,100,82,0.0,1.54,1.23,1.91,0.01,0
2726,2050,2303,2834,2745,2050,2302,2825,3436,2050,2306,2864,2648,655,2507,2417,99,-8,-45,49,99,-17,-58,93,-172,-18,-84,-72,101,78,98,-45,0.0,1.26,0.72,1.37,0.01,0
2657,2052,2362,2724,2708,2050,2364,2740,2754,2048,2370,2759,2624,604,2518,2472,469,-26,74,238,426,-18,41,152,55,1,-10,73,477,-107,455,90,0.03,1.52,1.78,2.16,0.01,0
2693,2052,2359,2885,2764,2050,2361,2905,2990,2049,2370,2929,2617,604,2498,2473,540,-20,90,319,87,-17,64,95,54,-1,-9,8,99,-99,99,82,0.0,1.76,2.02,2.02,0.01,0
2695,2052,2359,2888,2764,2050,2361,2905,3065,2049,2370,2929,2617,604,2498,2473,491,-26,90,290,101,-15,64,98,53,-12,-9,9,100,-99,101,83,0.0,1.75,2.02,2.04,0.0,0
2696,2052,2359,2888,2764,2050,2361,2905,3139,2049,2370,2929,2618,604,2498,2473,543,-28,90,299,99,-16,65,78,51,-6,-9,7,98,-96,100,81,0.0,1.73,2.02,2.05,0.0,0
2697,2052,2359,2890,2764,2050,2361,2905,3225,2049,2370,2929,2617,604,2498,2473,524,-27,89,285,101,-2,65,101,66,-10,-10,9,98,-97,100,82,0.0,1.72,2.03,2.04,0.01,0
2695,2052,2359,2890,2764,2050,2361,2905,3300,2049,2370,2929,2618,604,2498,2473,75,-25,90,98,100,-17,65,101,52,-9,-9,8,99,-99,99,84,0.0,1.73,2.03,2.06,0.01,0
2692,2052,2359,2890,2764,2050,2361,2905,3374,2049,2370,2929,2617,604,2498,2473,100,-26,90,100,100,-17,65,100,69,-13,-10,8,100,-88,100,83,0.0,1.71,2.03,2.06,0.01,0
2692,2052,2359,2890,2764,2049,2361,2905,3448,2049,2370,2929,2617,604,2498,2473,99,-24,90,100,99,-12,66,102,72,6,-9,8,100,-96,101,82,0.0,1.71,2.03,2.06,0.01,0
2692,2052,2359,2890,2764,2049,2361,2905,3478,2048,2368,2929,2618,604,2498,2473,98,-25,89,100,99,-8,66,100,73,0,11,7,100,-100,100,82,0.87,1.72,2.03,2.08,0.0,0
2692,2052,2359,2890,2764,2050,2361,2905,3478,2048,2368,2929,2617,604,2498,2473,101,-25,89,101,101,-16,65,99,72,0,8,9,99,-98,102,81,0.0,1.63,2.05,1.91,0.0,0
2693,2052,2302,2862,2765,2050,2302,2866,3433,2049,2305,2864,2617,655,2499,2417,100,-25,-32,-48,101,-15,-64,-79,-107,-10,-89,-71,101,75,100,-49,0.0,0.22,1.59,1.4,0.01,0
2667,2052,2359,2885,2749,2050,2361,2906,3027,2049,2370,2929,2618,604,2498,2475,475,-25,90,328,444,-18,65,187,72,-7,-9,9,100,-100,102,65,0.0,1.49,2.01,1.86,0.0,0
2668,2052,2359,2886,2743,2050,2361,2906,3101,2049,2370,2929,2618,604,2498,2475,507,-21,89,338,99,-17,65,101,67,-8,-8,8,100,-101,99,65,0.0,1.49,2.02,1.87,0.01,0
2662,2052,2359,2885,2742,2050,2361,2906,3189,2049,2370,2929,2618,604,2498,2475,99,-25,90,100,102,-16,64,101,58,-9,-8,8,101,-101,100,65,0.0,1.5,2.01,1.89,0.01,0
2662,2052,2359,2885,2742,2050,2361,2906,3264,2049,2370,2929,2618,604,2498,2475,99,-26,90,99,99,-16,65,100,55,-10,-5,8,102,-101,100,64,0.0,1.5,2.01,1.87,0.01,0
2662,2052,2359,2885,2742,2050,2361,2906,3337,2049,2370,2929,2618,604,2498,2475,98,-23,90,101,101,-16,65,100,60,-6,-9,8,101,-100,99,64,0.0,1.49,2.01,1.87,0.02,0
2662,2052,2359,2885,2742,2050,2361,2906,3411,2049,2370,2929,2618,604,2498,2475,99,-25,91,99,101,-17,64,100,64,-12,-8,8,98,-98,99,65,0.0,1.5,2.01,1.86,0.01,0
2662,2052,2359,2885,2742,2050,2361,2906,3478,2048,2368,2929,2618,604,2498,2475,99,-25,91,101,101,-18,65,101,61,-3,12,8,99,-101,100,65,0.77,1.5,2.01,1.87,0.01,0
2662,2052,2359,2886,2742,2050,2361,2906,3478,2048,2368,2929,2618,604,2498,2475,100,-25,90,99,99,-16,65,100,74,0,10,8,100,-99,101,64,0.83,1.49,2.01,1.87,0.0,0
2709,2051,2359,2884,2755,2050,2359,2903,3040,2049,2370,2929,2621,603,2509,2474,511,-17,90,332,486,-18,81,214,50,-7,-9,7,100,-99,101,65,0.03,1.62,1.96,2.03,0.01,0
2706,2051,2359,2884,2747,2050,2359,2903,3114,2049,2370,2929,2621,603,2509,2474,95,-18,90,99,98,-16,81,100,71,-11,-6,7,101,-98,99,71,0.0,1.64,1.89,2.07,0.01,0
2706,2051,2359,2884,2747,2050,2359,2903,3200,2049,2370,2929,2621,603,2509,2474,101,-17,90,102,101,-17,57,100,66,-8,-8,8,99,-96,100,68,0.0,1.65,1.9,2.06,0.01,0
2706,2051,2359,2884,2747,2050,2359,2903,3275,2049,2370,2929,2621,603,2509,2474,100,-18,90,100,101,-17,79,98,61,-8,-9,8,100,-100,100,66,0.0,1.65,1.9,2.06,0.01,0
2706,2051,2359,2884,2747,2050,2359,2903,3350,2049,2370,2929,2621,603,2509,2474,100,-17,89,101,102,-18,82,101,59,-8,-9,8,100,-94,101,70,0.0,1.62,1.89,2.06,0.01,0
2706,2051,2359,2884,2747,2050,2359,2903,3423,2049,2370,2929,2621,603,2509,2474,101,-17,90,101,100,-16,82,100,75,-15,-9,8,100,-95,101,70,0.0,1.66,1.9,2.07,0.01,0
2706,2051,2359,2884,2747,2050,2359,2903,3478,2048,2368,2929,2621,603,2509,2474,101,-18,90,98,99,-17,80,100,72,-1,13,10,101,-99,100,65,0.81,1.65,1.9,2.05,0.01,0
2706,2051,2359,2884,2747,2050,2359,2903,3478,2048,2368,2929,2621,603,2509,2474,101,-17,90,100,99,-17,82,103,73,0,8,8,99,-97,101,67,0.79,1.66,1.9,2.04,0.0,0
2708,2051,2312,2870,2748,2050,2313,2878,3445,2048,2318,2877,2621,644,2510,2429,99,-17,-28,-28,100,-18,-46,-70,-145,1,-96,-64,100,67,100,-58,0.0,1.0,1.28,1.41,0.01,0
2601,2049,2365,2615,2607,2050,2365,2620,2628,2048,2369,2632,2578,597,2550,2478,288,0,42,151,264,-19,32,106,49,3,0,73,510,-50,501,41,0.0,0.01,0.6,2.26,0.01,0
2618,2050,2365,2659,2654,2050,2363,2691,2703,2048,2369,2708,2618,599,2550,2478,98,-11,40,99,433,-17,52,146,65,-18,0,61,455,-68,497,39,0.0,1.08,0.59,2.33,0.0,0
2618,2050,2365,2700,2666,2051,2362,2761,2778,2048,2369,2784,2619,599,2550,2477,99,-8,42,100,468,-25,58,178,74,1,7,65,518,-67,500,50,0.0,1.11,0.66,2.34,0.01,0
2628,2050,2365,2760,2699,2051,2362,2847,2866,2049,2370,2871,2610,599,2535,2478,99,-10,40,101,538,-26,57,215,55,-10,-9,67,96,-66,97,38,0.0,1.11,0.59,2.05,0.01,0
2643,2050,2365,2803,2737,2051,2362,2912,2940,2049,2369,2929,2609,599,2522,2478,101,-9,41,97,524,-24,57,121,66,-6,3,9,99,-43,100,41,0.0,0.84,0.51,1.8,0.01,0
2656,2050,2365,2832,2768,2051,2361,2915,3013,2050,2368,2929,2609,599,2522,2478,100,-9,41,101,489,-25,66,114,66,-22,15,9,101,-62,100,41,0.0,0.82,0.49,1.99,0.01,0
2659,2050,2365,2845,2789,2051,2361,2915,3085,2050,2367,2929,2609,599,2517,2478,99,-9,41,99,491,-24,65,115,97,-13,15,7,100,-43,100,44,0.0,0.81,0.48,2.11,0.01,0
